year_sale,gu,area,floor,year_built,type,price
2025,구로구,84.165,6.0,1986.0,아파트,60.0
2025,동대문구,84.9,5.0,2005.0,아파트,86.5
2025,강남구,84.95,10.0,2011.0,아파트,154.0
2025,중구,29.17,2.0,2024.0,아파트,57.0
2025,노원구,49.77,15.0,1998.0,아파트,41.0
2025,동대문구,84.83,7.0,2019.0,아파트,144.0
2025,성북구,84.843,20.0,2003.0,아파트,84.5
2025,강서구,63.15,3.0,2000.0,아파트,23.0
2025,성북구,84.94,25.0,2020.0,아파트,119.5
2025,양천구,65.08,6.0,1986.0,아파트,249.9
2025,서대문구,59.94,9.0,2002.0,아파트,64.0
2025,관악구,107.62,17.0,2003.0,아파트,87.5
2025,마포구,59.43,5.0,1986.0,아파트,153.0
2025,성북구,84.99,14.0,2011.0,아파트,122.0
2025,용산구,114.99,9.0,2001.0,아파트,185.0
2025,도봉구,45.466,4.0,2005.0,아파트,33.0
2025,관악구,59.99,7.0,2006.0,아파트,73.8
2025,은평구,25.04,15.0,2020.0,아파트,35.0
2025,관악구,79.28,2.0,2003.0,아파트,70.0
2025,관악구,57.36,3.0,2003.0,아파트,62.5
2025,은평구,84.95,10.0,2019.0,아파트,125.0
2025,강남구,90.85,2.0,2003.0,아파트,172.0
2025,서초구,126.56,6.0,2005.0,아파트,245.0
2025,양천구,84.99,3.0,2004.0,아파트,138.5
2025,동작구,55.456,8.0,2003.0,아파트,97.0
2025,양천구,59.95,6.0,1999.0,아파트,57.5
2025,송파구,90.887,4.0,2016.0,아파트,194.0
2025,노원구,84.999,14.0,2023.0,아파트,113.0
2025,동대문구,84.98,16.0,2014.0,아파트,164.0
2025,양천구,96.83,4.0,2004.0,아파트,154.0
2025,마포구,84.92,6.0,2014.0,아파트,206.5
2025,송파구,120.97,4.0,2004.0,아파트,210.0
2025,서대문구,59.4,9.0,2000.0,아파트,65.8
2025,구로구,58.03,2.0,2007.0,아파트,68.0
2025,송파구,71.2,7.0,1979.0,아파트,310.0
2025,동대문구,18.35,4.0,2015.0,아파트,10.3
2025,송파구,115.83,4.0,1983.0,아파트,279.0
2025,성북구,59.675,14.0,2005.0,아파트,78.5
2025,동대문구,76.41,11.0,1989.0,아파트,67.0
2025,중랑구,82.39,4.0,1990.0,아파트,59.5
2025,노원구,59.28,14.0,1988.0,아파트,67.5
2025,송파구,84.87,9.0,1989.0,아파트,124.5
2025,관악구,101.95,15.0,2005.0,아파트,102.5
2025,관악구,114.75,2.0,2003.0,아파트,108.0
2025,마포구,84.91,1.0,2009.0,아파트,114.0
2025,강남구,59.975,13.0,2023.0,아파트,249.0
2025,강남구,213.05,22.0,2004.0,아파트,727.0
2025,금천구,84.677,3.0,2014.0,아파트,89.5
2025,성북구,84.94,25.0,2020.0,아파트,118.5
2025,서초구,80.33,11.0,1975.0,아파트,220.0
2025,강서구,84.96,10.0,1994.0,아파트,70.0
2025,송파구,51.764,6.0,2018.0,아파트,72.0
2025,양천구,41.06,11.0,2019.0,아파트,45.0
2025,양천구,142.51,5.0,1986.0,아파트,392.0
2025,도봉구,36.16,6.0,1989.0,아파트,30.3
2025,동대문구,59.84,10.0,1999.0,아파트,70.0
2025,강서구,84.97,4.0,2008.0,아파트,142.0
2025,도봉구,48.96,2.0,1988.0,아파트,34.0
2025,도봉구,84.87,3.0,1986.0,아파트,48.5
2025,마포구,103.04,4.0,2011.0,아파트,193.0
2025,구로구,59.94,14.0,2000.0,아파트,44.0
2025,동작구,84.97,1.0,1995.0,아파트,76.5
2025,양천구,59.73,2.0,1999.0,아파트,78.5
2025,송파구,84.83,14.0,1993.0,아파트,104.5
2025,도봉구,84.87,5.0,2004.0,아파트,68.0
2025,성동구,62.13,9.0,2017.0,아파트,65.0
2025,성북구,84.72,2.0,1999.0,아파트,84.5
2025,도봉구,59.51,5.0,1996.0,아파트,43.5
2025,금천구,101.67,2.0,1998.0,아파트,50.5
2025,은평구,59.99,15.0,2010.0,아파트,86.0
2025,중랑구,84.66,19.0,1998.0,아파트,67.5
2025,은평구,59.933,12.0,2020.0,아파트,93.5
2025,양천구,66.24,5.0,1988.0,아파트,185.0
2025,성북구,59.61,5.0,2005.0,아파트,79.0
2025,노원구,45.77,8.0,1988.0,아파트,52.5
2025,양천구,94.04,1.0,2019.0,아파트,184.0
2025,동작구,114.97,4.0,2004.0,아파트,169.0
2025,강북구,14.86,4.0,2018.0,아파트,13.0
2025,양천구,98.919,6.0,2003.0,아파트,80.5
2025,서초구,84.4,4.0,2014.0,아파트,199.5
2025,관악구,59.96,10.0,2008.0,아파트,60.0
2025,송파구,108.119,2.0,2015.0,아파트,190.0
2025,도봉구,84.53,7.0,1996.0,아파트,53.0
2025,강동구,84.9,5.0,1999.0,아파트,129.5
2025,양천구,84.928,2.0,2003.0,아파트,72.5
2025,양천구,84.39,8.0,1994.0,아파트,68.9
2025,중랑구,59.4,5.0,1989.0,아파트,33.2
2025,강서구,100.35,6.0,1994.0,아파트,103.2
2025,구로구,134.99,18.0,1999.0,아파트,140.0
2025,구로구,84.95,13.0,2001.0,아파트,132.0
2025,중랑구,59.923,6.0,2004.0,아파트,66.3
2025,서대문구,102.45,11.0,1998.0,아파트,137.8
2025,양천구,95.01,5.0,1986.0,아파트,302.5
2025,도봉구,49.94,6.0,1991.0,아파트,49.3
