group,task_completed
silence,0
silence,1
silence,0
silence,0
silence,1
silence,0
silence,1
silence,0
silence,0
silence,1
silence,0
silence,0
silence,1
silence,0
silence,1
silence,0
silence,0
silence,1
silence,0
silence,1
silence,0
silence,0
silence,1
silence,0
silence,0
silence,1
silence,0
silence,1
silence,0
silence,0
silence,1
silence,0
silence,0
silence,1
silence,0
silence,1
silence,0
silence,0
silence,1
silence,0
silence,0
silence,1
silence,0
silence,1
silence,0
silence,0
silence,1
silence,0
silence,1
silence,0
noise,1
noise,0
noise,1
noise,1
noise,0
noise,1
noise,1
noise,0
noise,1
noise,1
noise,0
noise,1
noise,1
noise,0
noise,1
noise,1
noise,0
noise,1
noise,0
noise,1
noise,1
noise,0
noise,1
noise,1
noise,0
noise,1
noise,0
noise,1
noise,1
noise,0
noise,1
noise,1
noise,0
noise,1
noise,1
noise,0
noise,1
noise,0
noise,1
noise,1
noise,0
noise,1
noise,1
noise,0
noise,1
noise,1
noise,0
noise,1
noise,0
noise,1
